Date,Value,Velocity
2021-03-09,18.01,1.5
2021-03-21,18.01,1.5
2021-04-02,-29.84,-2.49
2021-04-14,-29.84,-2.49
2021-04-26,12.73,1.06
2021-05-08,8.21,0.68
2021-05-20,-4.52,-0.38
2021-06-01,1.32,0.11
2021-06-13,12.99,1.08
2021-06-25,17.49,1.46
2021-07-07,-7.98,-0.66
2021-07-19,-19.23,-1.6
2021-07-31,-5.25,-0.44
2021-08-12,5.09,0.42
2021-08-24,-9.35,-0.78
2021-09-05,-5.2,-0.43
2021-09-17,9.8,0.82
2021-09-29,-5.39,-0.45
2021-10-11,7.11,0.59
2021-10-23,31.16,2.6
2021-11-04,7.19,0.6
2021-11-16,-24.39,-2.03
2021-11-28,-6.71,-0.56
2021-12-10,31.61,2.63
2025-04-17,11.33,0.94
2025-04-29,29.59,2.47
2025-05-23,19.03,0.79
