Date,Value,Velocity
2021-03-09,20.81,1.73
2021-03-21,8.91,0.74
2021-04-02,-40.06,-3.34
2021-04-14,9.88,0.82
2021-04-26,50.32,4.19
2021-05-08,9.07,0.76
2021-05-20,-19.29,-1.61
2021-06-01,-13.25,-1.1
2021-06-13,11.78,0.98
2021-06-25,14.11,1.18
2021-07-07,-6.64,-0.55
2021-07-19,-16.43,-1.37
2021-07-31,-5.81,-0.48
2021-08-12,3.72,0.31
2021-08-24,-9.84,-0.82
2021-09-05,-7.32,-0.61
2021-09-17,10.74,0.9
2021-09-29,-3.74,-0.31
2021-10-11,7.79,0.65
2021-10-23,26.65,2.22
2021-11-04,7.9,0.66
2021-11-16,-20.04,-1.67
2021-11-28,-9.04,-0.75
2021-12-10,29.08,2.42
2025-04-17,12.42,1.03
2025-04-29,32.9,2.74
2025-05-23,24.51,1.02
