Date,Value,Velocity
2021-03-09,21.17,1.76
2021-03-21,9.48,0.79
2021-04-02,-38.75,-3.23
2021-04-14,11.9,0.99
2021-04-26,51.11,4.26
2021-05-08,8.21,0.68
2021-05-20,-18.2,-1.52
2021-06-01,-11.19,-0.93
2021-06-13,10.44,0.87
2021-06-25,12.31,1.03
2021-07-07,-7.05,-0.59
2021-07-19,-15.87,-1.32
2021-07-31,-6.33,-0.53
2021-08-12,4.25,0.35
2021-08-24,-9.22,-0.77
2021-09-05,-7.13,-0.59
2021-09-17,11.65,0.97
2021-09-29,-3.33,-0.28
2021-10-11,7.76,0.65
2021-10-23,25.33,2.11
2021-11-04,8.24,0.69
2021-11-16,-19.31,-1.61
2021-11-28,-7.76,-0.65
2021-12-10,28.38,2.37
2025-04-17,14.01,1.17
2025-04-29,37.5,3.13
2025-05-23,26.04,1.08
