Date,Value,Velocity
2021-03-09,24.2,2.02
2021-03-21,10.05,0.84
2021-04-02,-41.06,-3.42
2021-04-14,8.68,0.72
2021-04-26,50.35,4.2
2021-05-08,10.19,0.85
2021-05-20,-19.08,-1.59
2021-06-01,-10.98,-0.92
2021-06-13,7.31,0.61
2021-06-25,10.3,0.86
2021-07-07,-5.68,-0.47
2021-07-19,-15.75,-1.31
2021-07-31,-7.51,-0.63
2021-08-12,0.86,0.07
2021-08-24,-10.21,-0.85
2021-09-05,-9.36,-0.78
2021-09-17,13.27,1.11
2021-09-29,-1.53,-0.13
2021-10-11,4.96,0.41
2021-10-23,27.73,2.31
2021-11-04,11.88,0.99
2021-11-16,-22.43,-1.87
2021-11-28,-9.53,-0.79
2021-12-10,29.41,2.45
2025-04-17,20.65,1.72
2025-04-29,43.8,3.65
2025-05-23,30.44,1.27
