Easting (m),Northing (m),Elevation (m),Date_Time (Local)(UTC+8),Diplacement (m),Diplacement (mm),Cummulative Diplacement (mm),Velocity (mm/day),ID,RiskRating,Area
58522.3169,13388.42646,5302.712774,01-07-25,0.004956717,4.956716897,28.26049637,0.014427701,W5-5300N001,Apparent Regressive,W5
58913.89322,13178.76065,5314.100824,01-07-25,0.0000472,0.047184533,37.3216692,0.317605156,W5-5312E001,Apparent Regressive,W5
58941.79679,13126.71787,5373.367732,01-07-25,0.03947456,39.47455984,9.474559845,0.175146718,W5-5372E008,Creeping,W5
58744.88313,13492.47509,5397.608615,01-07-25,0.027661785,27.66178542,10.8234358,0.446071526,W5-5396E001,Creeping,W5
58521.0229,13334.34919,5277.32198,01-07-25,0.046642269,46.64226905,28.61421991,-0.214089685,W8-5276N002,Apparent Regressive,W8
58872.29066,12897.69108,5446.51902,01-07-25,0.097980587,97.98058747,10.98058747,0.339804176,W8-5444E003,Creeping,W8
58086.10969,13198.48742,5517.03897,13-07-25,0.188707581,188.7075814,7.971819217,1.978998033,S2_5516W012,Apparent Regressive,S2
58052.25265,13118.06804,5518.06714,13-07-25,0.219658563,219.6585631,9.962099149,0.194554353,S2_5516W015,Apparent Regressive,S2
58042.42927,13046.63492,5517.079656,13-07-25,0.184023826,184.0238263,5.152243463,0.564526144,S2_5516W016,Apparent Regressive,S2
58044.97546,13084.54387,5517.698779,13-07-25,0.183417358,183.4173577,5.92991073,-1.140242382,S2_5516W017,Apparent Regressive,S2
58058.05837,12955.31544,5517.058918,13-07-25,0.188506777,188.5067773,8.973245212,1.646791225,S2_5516W019,Apparent Regressive,S2
58080.05038,12920.05362,5517.177281,13-07-25,0.190235674,190.2356735,9.12238441,2.11427592,S2_5516W020,Apparent Regressive,S2
58105.23554,12881.90335,5516.691532,13-07-25,0.186816062,186.8160618,7.516150119,1.335318828,S2_5516W021,Apparent Regressive,S2
58130.66913,12846.34433,5516.482556,13-07-25,0.200423242,200.4232416,9.263679169,2.999521809,S2_5516W022,Apparent Regressive,S2
58572.30331,12803.87865,5300.732488,01-07-25,0.012102112,12.10211215,12.10211215,0.224995711,S2-5300E010,Creeping,S2
